ev_id,img,target
1,7380263314.jpg,A girl is digging sand at the beach.
2,55903788.jpg,A woman brushes another woman's hair.
3,4607606901.jpg,A young girl is petting a deer.
4,325742196.jpg,A little girl is playing with dolls.
5,4621100791.jpg,A man is sleeping on a bench.
6,6915574150.jpg,A toddler is holding a toothbrush.
7,6845394024.jpg,A boy is brushing his teeth.
8,4688958106.jpg,Two doctors are performing surgery.
9,6225280494.jpg,A man is jumping over a hurdle.
10,2667549961.jpg,A baby is crawling on the floor.
11,6053720349.jpg,A baby is sitting in a suitcase.
12,3672940355.jpg,A young girl is kicking a ball.
13,5669914204.jpg,A boy is looking through a telescope.
14,4387675829.jpg,A girl is playing with a toy train.
15,4704668708.jpg,A little boy is opening a present.
16,5220880759.jpg,A man is taking a shower.
17,6596861005.jpg,A woman is reading a map.
18,4050265867.jpg,A baby is yawning.
19,5241718422.jpg,A man is running on a treadmill.
20,6882674785.jpg,A little girl is blowing bubbles.
21,6918285809.jpg,A bartender is pouring a drink.
22,4896173039.jpg,A woman is reading a book.
23,4855357158.jpg,A man is carrying a canoe.
24,6110845331.jpg,A girl is coloring with crayons.
25,4772785237.jpg,A man is sweeping the sidewalk.
26,126594141.jpg,A woman is tying her shoe on a soccer field.
27,3677329561.jpg,Two girls are washing a dog.
28,5194023863.jpg,A little girl is holding a snail.
29,4434125934.jpg,A man is mowing the lawn.
30,6237339784.jpg,A boy is sitting in a tree.
31,4789495327.jpg,A woman is talking on a cell phone.
32,4678843953.jpg,A man is throwing an axe.
33,6681702227.jpg,A woman is cutting a man's hair.
34,4580613274.jpg,A man is sweeping the steps.
35,5840187633.jpg,A little girl is walking on a treadmill.
36,33256003.jpg,A woman is putting on lipstick.
37,4618092593.jpg,Two men are shaving their heads.
38,4766583860.jpg,A girl is swinging on a swing.
39,3818278154.jpg,A group of people are doing yoga on a beach.
40,5543900069.jpg,A woman is blowdrying her hair.
41,6721214117.jpg,A man is bowling.
42,7028846053.jpg,A woman is eating noodles.
43,3665441862.jpg,A young girl is climbing a fence.
44,4585839343.jpg,A woman is blowing on a dandelion.
45,4121133646.jpg,A boy is using a magnifying glass to look at a rock.
46,41999070.jpg,A group of dogs are playing in a pool.
47,807129.jpg,A man is playing the flute.
