img,hit,target,subj_noun,verb,obj_noun,other,notes
5925544950.jpg,1,A woman is fishing.,woman,fishing,,lake/river/pond,
5194023863.jpg,1,A (little) girl is holding a snail.,girl,holding,snail,,large snail/slug
4858197102.jpg,1,A man is holding a (newborn) baby.,man,holding,baby,,
7742281954.jpg,1,A man is playing the saxophone.,man,playing,saxophone,outside/garden,
4618092593.jpg,1,Two men are shaving their heads.,men,shaving,heads,razor,
3652094744.jpg,1,A (little) boy is watering a plant.,boy,watering,plant,,
7819772858.jpg,1,A man is surfing.,man,surfing,,wave/surfboard,
3549408779.jpg,1,A dog is swimming (in a pool).,dog,swimming,,pool/water,
4842516865.jpg,1,A man is chopping wood.,man,chopping,wood,axe,
6053720349.jpg,1,A baby is sitting in a suitcase.,baby,sitting,,suitcase/luggage,
4434125934.jpg,1,A man is mowing the lawn/pushing a lawnmower.,man,moving/pushing,lawn/lawnmower,,
3819214047.jpg,1,A boy/man is sitting on his skateboard.,man,sitting,,skateboard,
4585839343.jpg,1,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,
5505219003.jpg,1,A man is writing on a chalkboard.,man,writing,equations,chalkboard,
6721214117.jpg,1,A man is bowling.,man,bowling,,,
23770160.jpg,1,A man is playing guitar.,man,playing,guitar,grass/outside,
5194027799.jpg,1,A woman is holding a puppy.,woman,holding,puppy,,
325742196.jpg,1,A little girl is playing with dolls/toys.,girl,playing,toys/dolls,,
6681702227.jpg,1,A woman is cutting a man's hair.,woman,cutting,hair,man/haircut,
4597303045.jpg,1,A man is smoking a pipe (on a rock).,man,smoking,pipe,rock/beach/water,
4464176007.jpg,1,A man is sitting on a bench reading the newspaper.,man,sitting/reading,newspaper,bench,
807129.jpg,1,A man is playing the flute.,man,playing/sitting,flute,outside,
4390269250.jpg,1,A (little) girl is eating a strawberry.,girl,eating,strawberry,,
5584269779.jpg,1,A woman is riding a horse.,woman,riding,horse,,
35268263.jpg,1,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,
4789495327.jpg,1,A woman is talking on a cell phone.,woman,talking,,cell phone,
7348289414.jpg,1,A (young) child is eating an apple.,child,eating,apple,,
6237339784.jpg,1,A boy/kid/child is sitting in a tree.,boy,sitting,,tree/branch,
4715971264.jpg,1,A (young) man is juggling (three balls).,man,juggling,balls,,three
5669914204.jpg,1,A (young) boy is looking through a telescope.,boy,looking,,telescope,
4895017117.jpg,1,A man is vacuuming (a bedroom).,man,vacuuming,room,floor/carpet,
4618355872.jpg,2,A woman is taking a picture of a plant.,woman,taking,picture,plant/camera,
4786057236.jpg,2,A man is playing the accordion.,man,playing,accordion,,
5241718422.jpg,2,A man is running on a treadmill.,man,running,,treadmill,
6110845331.jpg,2,A girl is coloring with crayons (on the floor?).,girl,coloring,,crayons/floor,
4511110810.jpg,2,A man is blowing bubbles.,man,blowing,bubbles,,
6354735653.jpg,2,A man is rock climbing.,man,rock climbing,,cliff/rock,
4121133646.jpg,2,A boy is using a magnifying glass to look at a rock.,boy,using,magnifying glass,rock,
4855357158.jpg,2,A man is carrying a canoe.,man,carrying,canoe,,
3672940355.jpg,2,A young girl is kicking a ball.,girl,kicking,ball,outside/yard/grass,
3665441862.jpg,2,A young girl is climbing a fence.,girl,climbing,fence,,
3808935147.jpg,2,Two boys are jumping on a trampoline.,boys,jumping,,trampoline,
8057415401.jpg,2,Two men are playing checkers.,men,playing,checkers,,
6915921596.jpg,2,A woman is grooming/brushing a horse.,woman,grooming/brushing,horse,mane/hair,
2763354860.jpg,2,A (young) girl is rock climbing.,girl,rock climbing,,,
29850055.jpg,2,A (little/young) boy is playing in the sand.,boy,playing,,sand,
5543900069.jpg,2,A woman is blowdrying her hair.,woman,blowdrying,hair,,
8189395281.jpg,2,A woman is roller skating.,woman,roller skating,,indoors,
4766583860.jpg,2,A girl is swinging (on a swing).,girl,swinging,,swing set,
6845394024.jpg,2,A (young) boy is brushing his teeth.,boy,brushing,teeth,,
5283494184.jpg,2,A woman is blowing leaves (with a leaf blower).,woman,blowing,leaves,leaf blower,
6915574150.jpg,2,A toddler is holding a toothbrush.,toddler,holding,toothbrush,,
4705826062.jpg,2,A man is eating an ice cream cone.,man,eating,ice cream cone,,
33256003.jpg,2,A woman is applying lipstick.,woman,applying,lipstick,,
4445547327.jpg,2,A (young) girl is playing the violin.,girl,playing,violin,,
4607606901.jpg,2,A (young) girl is petting a deer.,girl,petting,deer,,
4896173039.jpg,2,A woman is reading a book.,woman,reading,book,outside,
7579008108.jpg,2,A man is jumping (off a rock/cliff) into the water.,man,jumping,,cliff/water/ocean/water,
3677329561.jpg,3,Two girls are washing a dog.,girls,washing,dog,outside,
4387675829.jpg,3,A girl is playing with a toy train.,girls,playing,,toy train,
8088804992.jpg,3,A woman is jogging/running.,woman,jogging/running,,outside,
3800306463.jpg,3,A (little) boy is holding two large cucumbers.,boy,holding,cucumbers,,direct object
2889481764.jpg,3,A man is painting a castle.,man,painting,castle,,
6882674785.jpg,3,A little girl is blowing bubbles.,girl,blowing,bubbles,,
5293561716.jpg,3,A (young) boy is playing the piano.,boy,playing,piano,,
